善峯寺,285,-101,570,-202,1139,-404,2279,-808,4558,-1615,9116,-3231,34.93801559,135.64407525,http://b.hatena.ne.jp/articles/201011/1871,206,名所から穴場まで！京都在住ライターが選ぶ、オススメ紅葉スポット6ヶ所 - はてなブックマークニュース
醍醐寺,285,-101,570,-202,1140,-405,2281,-809,4562,-1619,9125,-3237,34.95216818,135.81934333,http://b.hatena.ne.jp/articles/201011/1871,206,名所から穴場まで！京都在住ライターが選ぶ、オススメ紅葉スポット6ヶ所 - はてなブックマークニュース
朋友軒,293,-105,585,-210,1171,-419,2341,-838,4683,-1676,9365,-3352,35.604436388889,139.715895555556,http://d.hatena.ne.jp/thyself2005/20090615/p1,48,孤独のグルメの第16話に登場！池袋西武屋上のうどん屋「かるかや」 - 己【おれ】
朋友,293,-105,585,-210,1171,-419,2342,-838,4683,-1676,9367,-3352,35.607514444444,139.735855000000,http://d.hatena.ne.jp/thyself2005/20090615/p1,48,孤独のグルメの第16話に登場！池袋西武屋上のうどん屋「かるかや」 - 己【おれ】
みさと,293,-104,585,-209,1171,-417,2342,-834,4684,-1668,9368,-3336,35.693483611111,139.567396666667,http://d.hatena.ne.jp/thyself2005/20110727/p1,33,孤独のグルメの主人公がありつけなかった居酒屋「みさと」のお茶漬け他＠東京・三鷹 - 己【おれ】
京都ホルモン,285,-101,570,-202,1141,-404,2282,-807,4564,-1614,9127,-3229,35.009309722222,135.747955277778,http://hosutesu.org/diary/rarity-gourmet-in-kyoto/,804,京都の絶品グルメ　私のベスト17 | 祇園ホステスのネットビジネス挑戦ブログ
わさび,285,-101,570,-202,1141,-404,2282,-808,4564,-1615,9128,-3230,35.004594722222,135.773825833333,http://hosutesu.org/diary/rarity-gourmet-in-kyoto/,804,京都の絶品グルメ　私のベスト17 | 祇園ホステスのネットビジネス挑戦ブログ
味ろっこん烏丸店,285,-101,570,-202,1141,-404,2282,-807,4564,-1615,9127,-3230,35.004786388889,135.758718888889,http://hosutesu.org/diary/rarity-gourmet-in-kyoto/,804,京都の絶品グルメ　私のベスト17 | 祇園ホステスのネットビジネス挑戦ブログ
ろっこん居酒屋,285,-101,570,-202,1141,-404,2281,-808,4563,-1615,9126,-3230,34.993090000000,135.749338611111,http://hosutesu.org/diary/rarity-gourmet-in-kyoto/,804,京都の絶品グルメ　私のベスト17 | 祇園ホステスのネットビジネス挑戦ブログ
開陽亭,285,-101,570,-202,1141,-404,2282,-807,4564,-1614,9127,-3229,35.009309722222,135.747955277778,http://hosutesu.org/diary/rarity-gourmet-in-kyoto/,804,京都の絶品グルメ　私のベスト17 | 祇園ホステスのネットビジネス挑戦ブログ
株式会社イノダコーヒ　本店,285,-101,570,-202,1141,-404,2282,-807,4564,-1614,9127,-3229,35.009309722222,135.747955277778,http://hosutesu.org/diary/rarity-gourmet-in-kyoto/,804,京都の絶品グルメ　私のベスト17 | 祇園ホステスのネットビジネス挑戦ブログ
居酒屋燔,285,-101,570,-202,1140,-405,2281,-809,4561,-1619,9122,-3238,34.932455000000,135.785521388889,http://hosutesu.org/diary/rarity-gourmet-in-kyoto/,804,京都の絶品グルメ　私のベスト17 | 祇園ホステスのネットビジネス挑戦ブログ
長楽館カフェ,285,-101,570,-202,1141,-404,2282,-808,4564,-1615,9128,-3231,35.003150532291,135.78010575871,http://hosutesu.org/kyoto/food/guide-to-good-eating/,62,京都のおすすめグルメ24選 | 祇園ホステスのネットビジネス挑戦ブログ
長楽館　イタリアン　コーラル,285,-101,570,-202,1141,-404,2282,-808,4564,-1615,9128,-3231,35.0031505,135.780106,http://hosutesu.org/kyoto/food/guide-to-good-eating/,62,京都のおすすめグルメ24選 | 祇園ホステスのネットビジネス挑戦ブログ
長楽館,285,-101,570,-202,1141,-404,2282,-808,4563,-1616,9127,-3232,34.990405555556,135.778040555556,http://hosutesu.org/kyoto/food/guide-to-good-eating/,62,京都のおすすめグルメ24選 | 祇園ホステスのネットビジネス挑戦ブログ
天楽,285,-101,571,-202,1141,-404,2283,-807,4566,-1614,9131,-3229,35.026326388889,135.791940277778,http://hosutesu.org/kyoto/food/guide-to-good-eating/,62,京都のおすすめグルメ24選 | 祇園ホステスのネットビジネス挑戦ブログ
天楽,286,-100,572,-201,1143,-402,2286,-804,4572,-1608,9144,-3216,35.163801388889,135.793204166667,http://hosutesu.org/kyoto/food/guide-to-good-eating/,62,京都のおすすめグルメ24選 | 祇園ホステスのネットビジネス挑戦ブログ
もつ鍋寅屋,285,-101,570,-202,1141,-404,2282,-807,4564,-1614,9127,-3229,35.009309722222,135.747955277778,http://hosutesu.org/kyoto/food/guide-to-good-eating/,62,京都のおすすめグルメ24選 | 祇園ホステスのネットビジネス挑戦ブログ
