３７ＣＵＲＲＹ,293,-105,586,-209,1172,-418,2343,-837,4686,-1673,9372,-3347,35.661335833333,139.730128611111,http://togetter.com/li/185944,8
バルチックカレー六本木店,293,-105,586,-209,1172,-418,2343,-837,4686,-1673,9372,-3346,35.665065833333,139.729706111111,http://togetter.com/li/185944,8
いんでいら道玄坂店,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.659654722222,139.698373055556,http://togetter.com/li/185944,8
東京カレー屋名店会,293,-105,586,-209,1172,-418,2344,-837,4687,-1674,9375,-3347,35.674393611111,139.763838888889,http://togetter.com/li/185944,8
カレーハウスＣｏＣｏ壱番屋本郷三丁目駅前店,293,-105,586,-209,1172,-418,2344,-836,4689,-1672,9377,-3344,35.707675833333,139.759618611111,http://togetter.com/li/185944,8
カレーハウスＣｏＣｏ壱番屋ＪＲ国分寺駅南口店,293,-104,585,-208,1171,-416,2341,-833,4682,-1666,9364,-3332,35.698914166667,139.479526111111,http://togetter.com/li/185944,8
カレーハウスＣｏＣｏ壱番屋秋葉原国道４号店,293,-105,586,-209,1172,-418,2345,-836,4689,-1672,9378,-3345,35.699991111111,139.775176666667,http://togetter.com/li/185944,8
カレーハウスＣｏＣｏ壱番屋国分寺並木町店,293,-104,585,-208,1171,-416,2341,-832,4682,-1664,9364,-3329,35.717341666667,139.446220277778,http://togetter.com/li/185944,8
タイ国料理　バンタイ,293,-104,586,-209,1172,-418,2343,-836,4687,-1671,9374,-3342,35.694173955513,139.70099228792,http://togetter.com/li/185944,8
スープカリーの店　ｍａｎｎａ,293,-104,586,-209,1173,-417,2345,-834,4691,-1668,9381,-3337,35.7615299,139.720236,http://togetter.com/li/185944,8
スープカレー・シュクル,292,-105,585,-209,1170,-419,2341,-837,4682,-1675,9364,-3349,35.607407222222,139.669402222222,http://togetter.com/li/185944,8
東京スープカレー歌舞伎町店,293,-104,586,-209,1172,-418,2343,-836,4687,-1671,9374,-3342,35.694184166667,139.700968611111,http://togetter.com/li/185944,8
スープカレー屋オオドリー,293,-105,586,-209,1172,-418,2344,-836,4688,-1673,9376,-3345,35.696066111111,139.761138611111,http://togetter.com/li/185944,8
スープカレーカムイ,293,-105,586,-209,1172,-418,2344,-836,4688,-1673,9377,-3345,35.695172222222,139.772640833333,http://togetter.com/li/185944,8
スープカリィ厨房ガネー舎,293,-105,586,-209,1172,-418,2343,-837,4687,-1674,9373,-3348,35.663216944444,139.756806666667,http://togetter.com/li/185944,8
東京らっきょブラザーズ,293,-104,586,-209,1172,-418,2344,-835,4688,-1671,9376,-3342,35.7062417,139.720302,http://togetter.com/li/185944,8
スープカレー 心,293,-104,586,-209,1171,-418,2342,-836,4685,-1672,9369,-3344,35.66341669,139.66851436,http://togetter.com/li/185944,8
Soup curry dining en,293,-105,585,-210,1171,-419,2341,-839,4682,-1677,9364,-3354,35.585967380608,139.72780997934,http://togetter.com/li/185944,8
パティヤラパレス　多摩,292,-104,585,-208,1169,-417,2339,-834,4678,-1668,9355,-3336,35.628905431568,139.43012445665,http://togetter.com/li/185944,8
パティヤラパレス　豪徳寺,293,-104,585,-209,1171,-418,2342,-836,4684,-1672,9367,-3344,35.65399830768,139.64697452579,http://togetter.com/li/185944,8
長崎グラバー亭,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3345,35.659735277778,139.695187222222,http://togetter.com/li/185882,5
轍,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3345,35.657521666667,139.693893055556,http://togetter.com/li/185882,5
和風つけ麺 轍,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3345,35.65752161,139.69389295,http://togetter.com/li/185882,5
中央軒道玄坂,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.656968888889,139.695176111111,http://togetter.com/li/185882,5
